uf,ano,abate_anual
PR,2020,1449054
PR,2021,1210093
PR,2022,1299751
PR,2023,1304664
PR,2024,1467331
PR,2025,1199368
RJ,2005,25207
RJ,2006,70154
RJ,2007,131742
RJ,2008,164602
RJ,2009,141410
RJ,2010,228771
RJ,2011,186792
RJ,2012,174475
RJ,2013,190535
RJ,2014,187997
RJ,2015,205011
RJ,2016,150625
RJ,2017,175134
RJ,2018,182603
RJ,2019,183725
RJ,2020,157599
RJ,2021,137514
RJ,2022,142944
RJ,2023,188569
RJ,2024,239112
RJ,2025,187661
RN,2005,24763
RN,2006,95659
RN,2007,112558
RN,2008,115741
RN,2009,98126
RN,2010,107547
RN,2011,106672
RN,2012,115689
RN,2013,119270
RN,2014,110554
RN,2015,109844
RN,2016,90277
RN,2017,81671
RN,2018,83897
RN,2019,86239
RN,2020,77235
RN,2021,64928
RN,2022,77328
RN,2023,65368
RN,2024,75264
RN,2025,89785
RO,2005,316120
RO,2006,1674940
RO,2007,2107399
RO,2008,1729348
RO,2009,1804866
RO,2010,1902369
RO,2011,1893136
RO,2012,2046868
RO,2013,2289653
RO,2014,2004591
RO,2015,1904823
RO,2016,2191620
RO,2017,2288467
RO,2018,2414392
RO,2019,2392309
RO,2020,2179717
RO,2021,1862407
RO,2022,2045148
RO,2023,2886200
RO,2024,3239066
RO,2025,2711041
RR,2006,29896
RR,2007,60498
RR,2008,71123
RR,2009,67497
RR,2010,73284
RR,2011,75436
RR,2012,37259
RR,2013,74189
RR,2014,52755
RR,2016,63854
RR,2017,67319
RR,2018,76985
RR,2019,82553
RR,2020,87692
RR,2021,89441
RR,2022,75935
RR,2023,84015
RR,2024,107405
RR,2025,99031
RS,2005,601426
RS,2006,2046792
RS,2007,1386977
RS,2008,1452286
RS,2009,1559117
RS,2010,1938588
RS,2011,1885435
RS,2012,1934150
RS,2013,1920627
RS,2014,1885555
RS,2015,1821798
RS,2016,1897834
RS,2017,1929178
RS,2018,2134308
RS,2019,1966444
RS,2020,1901849
RS,2021,1601614
RS,2022,1653951
RS,2023,1768438
RS,2024,1649407
RS,2025,1243620
SC,2005,84606
SC,2006,333421
SC,2007,324032
SC,2008,364144
SC,2009,358129
SC,2010,509350
SC,2011,419887
SC,2012,420706
SC,2013,405425
SC,2014,432871
SC,2015,440314
SC,2016,407877
SC,2017,431830
SC,2018,476147
SC,2019,536299
SC,2020,604512
SC,2021,533622
SC,2022,528389
SC,2023,543395
SC,2024,628693
SC,2025,492045
SE,2009,55873
SE,2010,95791
SE,2011,95300
SE,2012,105622
SE,2013,101000
SE,2014,101896
SE,2015,87476
SE,2016,87027
SE,2017,92363
SE,2018,116162
SE,2019,44195
SE,2021,133761
SE,2022,195760
SE,2023,225982
SE,2024,305101
SE,2025,266348
SP,2005,1008876
SP,2006,4126182
SP,2007,4123918
SP,2008,3635066
SP,2009,3552206
SP,2010,3532524
SP,2011,3269852
SP,2012,3348472
SP,2013,3548939
SP,2014,3523974
SP,2015,3052511
SP,2016,2792350
SP,2017,2923258
SP,2018,3101941
SP,2019,3326168
SP,2020,3120469
SP,2021,2891690
SP,2022,3420964
SP,2023,3453408
SP,2024,4140875
SP,2025,3457982
TO,2005,197204
TO,2006,1165352
TO,2007,1153294
TO,2008,899922
TO,2009,882670
TO,2010,906479
TO,2011,1053689
TO,2012,1051092
TO,2013,1195180
TO,2014,1154265
TO,2015,1097704
TO,2016,1022512
TO,2017,980048
TO,2018,1066984
TO,2019,1032557
TO,2020,894811
TO,2021,949944
TO,2022,1103897
TO,2023,1253201
TO,2024,1347300
TO,2025,1142812
