uf,ano,rebanho_cabecas,regiao,abate_anual,desmatamento_km2,taxa_abate,amazonia_legal,var_rebanho_pct
RJ,2022,2701143,Sudeste,142944.0,,5.291981949863446,False,1.0125400747251323
RJ,2023,2765124,Sudeste,188569.0,,6.819549503024096,False,2.3686639322686664
RJ,2024,2761677,Sudeste,239112.0,,8.658217452656483,False,-0.12465987058808414
RN,2005,978494,Nordeste,24763.0,,2.5307257888142387,False,
RN,2006,1027289,Nordeste,95659.0,,9.31179054774265,False,4.9867449366066685
RN,2007,1010238,Nordeste,112558.0,,11.141730958447415,False,-1.6598055659118316
RN,2008,1029240,Nordeste,115741.0,,11.245287785161867,False,1.8809429065230088
RN,2009,1150028,Nordeste,98126.0,,8.532487904642322,False,11.73564960553417
RN,2010,1064575,Nordeste,107547.0,,10.102341309912406,False,-7.430514735293404
RN,2011,1047797,Nordeste,106672.0,,10.180597959337543,False,-1.5760279923913267
RN,2012,858211,Nordeste,115689.0,,13.480251360096759,False,-18.093771980641293
RN,2013,914777,Nordeste,119270.0,,13.03815028143471,False,6.591152991513738
RN,2014,972816,Nordeste,110554.0,,11.364327889343926,False,6.3446063904099015
RN,2015,918952,Nordeste,109844.0,,11.953181450173677,False,-5.536915511258034
RN,2016,840847,Nordeste,90277.0,,10.736435998463454,False,-8.499355787897523
RN,2017,870000,Nordeste,81671.0,,9.387471264367816,False,3.467099246355154
RN,2018,863284,Nordeste,83897.0,,9.718354562345647,False,-0.771954022988508
RN,2019,929451,Nordeste,86239.0,,9.278488053700517,False,7.66456924951695
RN,2020,988134,Nordeste,77235.0,,7.816247593949808,False,6.313727135696223
RN,2021,1015835,Nordeste,64928.0,,6.391589185251542,False,2.8033647258367766
RN,2022,1059926,Nordeste,77328.0,,7.295603655349524,False,4.340370237292479
RN,2023,1173351,Nordeste,65368.0,,5.571052481312071,False,10.701218764328836
RN,2024,1376932,Nordeste,75264.0,,5.466065136114202,False,17.350392167390673
RO,2005,11349452,Norte,316120.0,3244.0,2.785332719148026,True,
RO,2006,11484162,Norte,1674940.0,2049.0,14.584782067685914,True,1.1869295539555624
RO,2007,11007613,Norte,2107399.0,1611.0,19.14492270031659,True,-4.149619275659822
RO,2008,11176201,Norte,1729348.0,1136.0,15.47348692100294,True,1.5315582043082365
RO,2009,11532891,Norte,1804866.0,482.0,15.649727375382286,True,3.1915138247782027
RO,2010,11842073,Norte,1902369.0,435.0,16.064493100152312,True,2.680871604526569
RO,2011,12182259,Norte,1893136.0,865.0,15.540106313615562,True,2.872689604261014
RO,2012,12218437,Norte,2046868.0,773.0,16.752290002395558,True,0.2969728356620793
RO,2013,12329971,Norte,2289653.0,932.0,18.56981658756537,True,0.9128336136610571
RO,2014,12744326,Norte,2004591.0,684.0,15.729282191933885,True,3.360551294078462
RO,2015,13397970,Norte,1904823.0,1030.0,14.217250822326069,True,5.128902069830921
RO,2016,13682200,Norte,2191620.0,1243.0,16.018038034818964,True,2.1214407854324158
RO,2017,14091378,Norte,2288467.0,1245.0,16.24019311667035,True,2.9905863092192675
RO,2018,14367161,Norte,2414392.0,1458.0,16.804934530906976,True,1.9571045500305306
RO,2019,14349219,Norte,2392309.0,1554.0,16.672050234929163,True,-0.12488201392049092
RO,2020,14804398,Norte,2179717.0,1298.0,14.723442317613996,True,3.1721517387113485
RO,2021,15110301,Norte,1862407.0,1568.0,12.32541297489706,True,2.0662981365402455
RO,2022,17688225,Norte,2045148.0,1400.0,11.562200277303122,True,17.06070580592669
RO,2023,18162632,Norte,2886200.0,1300.0,15.890868680266165,True,2.6820497817050537
RO,2024,18221984,Norte,3239066.0,,17.775594578504734,True,0.3267808322053867
RR,2005,507000,Norte,,133.0,,True,
RR,2006,508600,Norte,29896.0,231.0,5.878096736138419,True,0.3155818540433897
RR,2007,481100,Norte,60498.0,309.0,12.574932446476824,True,-5.406999606763662
RR,2008,476200,Norte,71123.0,574.0,14.935531289374213,True,-1.018499272500517
RR,2009,475380,Norte,67497.0,121.0,14.19853590811561,True,-0.17219655606888207
RR,2010,577050,Norte,73284.0,256.0,12.699766051468679,True,21.387100845639285
RR,2011,651511,Norte,75436.0,141.0,11.5786226172697,True,12.903734511740762
RR,2012,686491,Norte,37259.0,124.0,5.427456441526546,True,5.36905746794758
RR,2013,747045,Norte,74189.0,170.0,9.930994786123994,True,8.82080027269112
RR,2014,735962,Norte,52755.0,219.0,7.168169008725994,True,-1.4835786331479417
RR,2015,794783,Norte,,156.0,,True,7.992396346550512
RR,2016,780877,Norte,63854.0,202.0,8.177216130069139,True,-1.7496599700798865
RR,2017,787318,Norte,67319.0,132.0,8.550420541636289,True,0.8248418124749524
RR,2018,817198,Norte,76985.0,195.0,9.42060553256371,True,3.7951628185815656
RR,2019,879007,Norte,82553.0,235.0,9.391620317016816,True,7.5635280556242135
RR,2020,925109,Norte,87692.0,255.0,9.479099219659522,True,5.244781895934847
RR,2021,937989,Norte,89441.0,310.0,9.535399668866052,True,1.3922683705379635
RR,2022,1133502,Norte,75935.0,280.0,6.6991500676664,True,20.843847848961982
RR,2023,1181553,Norte,84015.0,250.0,7.110557038067696,True,4.239163230413356
RR,2024,1286360,Norte,107405.0,,8.349528903261918,True,8.870274968621805
RS,2005,14239906,Sul,601426.0,,4.223525071022238,False,
RS,2006,13974827,Sul,2046792.0,,14.646277910989525,False,-1.8615221195982579
RS,2007,13516426,Sul,1386977.0,,10.261418218099962,False,-3.280190874634803
RS,2008,14115643,Sul,1452286.0,,10.28848632683612,False,4.4332503281562685
RS,2009,14366298,Sul,1559117.0,,10.852600997139277,False,1.7757249882276005
RS,2010,14469307,Sul,1938588.0,,13.397932603130197,False,0.7170183995904855
RS,2011,14478312,Sul,1885435.0,,13.022478034732227,False,0.06223518514052451
RS,2012,14140654,Sul,1934150.0,,13.67793879971888,False,-2.3321641362611834
RS,2013,14037367,Sul,1920627.0,,13.682245395450584,False,-0.7304259053364848
RS,2014,13956953,Sul,1885555.0,,13.509789708398387,False,-0.572856718784942
RS,2015,13737316,Sul,1821798.0,,13.261673532151406,False,-1.5736744259294944
RS,2016,13590282,Sul,1897834.0,,13.964640321665142,False,-1.0703255279269963
RS,2017,13353122,Sul,1929178.0,,14.447392901824758,False,-1.7450704849244492
RS,2018,12550379,Sul,2134308.0,,17.005924681637104,False,-6.011650309193605
RS,2019,11968216,Sul,1966444.0,,16.43055238976302,False,-4.638608921690734
RS,2020,11128019,Sul,1901849.0,,17.090634011318638,False,-7.020235931570751
RS,2021,11056530,Sul,1601614.0,,14.485684025639149,False,-0.6424234178608046
RS,2022,11932838,Sul,1653951.0,,13.860499907901206,False,7.925705442846898
RS,2023,12012219,Sul,1768438.0,,14.721992664302908,False,0.665231523297316
RS,2024,11530056,Sul,1649407.0,,14.305281778336548,False,-4.013937807827183
SC,2005,3376725,Sul,84606.0,,2.505563822934944,False,
SC,2006,3460835,Sul,333421.0,,9.634120089515969,False,2.4908750342417685
SC,2007,3488992,Sul,324032.0,,9.28726692408581,False,0.813589783968327
SC,2008,3884264,Sul,364144.0,,9.374851966807611,False,11.329117406975996
SC,2009,3976165,Sul,358129.0,,9.006894834595647,False,2.365982332817751
SC,2010,3985662,Sul,509350.0,,12.779558326822496,False,0.23884823693181012
SC,2011,4039217,Sul,419887.0,,10.395257298629907,False,1.343691462045693
SC,2012,4072960,Sul,420706.0,,10.329244578881207,False,0.8353846797535258
SC,2013,4201561,Sul,405425.0,,9.64938983392125,False,3.157433414519173
SC,2014,4285931,Sul,432871.0,,10.099812619475209,False,2.0080631936558735
SC,2015,4382299,Sul,440314.0,,10.047557229664156,False,2.2484729688835303
SC,2016,4499505,Sul,407877.0,,9.064930475685658,False,2.6745322489405643
SC,2017,4302861,Sul,431830.0,,10.035880777928917,False,-4.370347404881203
SC,2018,4296052,Sul,476147.0,,11.08336211945293,False,-0.15824355004728785
SC,2019,4452571,Sul,536299.0,,12.044704059744358,False,3.6433218219891206
SC,2020,4532618,Sul,604512.0,,13.336928018200519,False,1.7977703219106411
SC,2021,4541890,Sul,533622.0,,11.748897485408056,False,0.20456169039615446
SC,2022,4484105,Sul,528389.0,,11.783600071809202,False,-1.272267712340014
SC,2023,4540794,Sul,543395.0,,11.966959963389662,False,1.2642210652962005
SC,2024,4395639,Sul,628693.0,,14.302653152363057,False,-3.196687627758499
SE,2005,1005177,Nordeste,,,,False,
SE,2006,1067508,Nordeste,,,,False,6.200997436272426
SE,2007,1073692,Nordeste,,,,False,0.5792930825811116
SE,2008,1080833,Nordeste,,,,False,0.6650883121044115
SE,2009,1120832,Nordeste,55873.0,,4.984957602923543,False,3.7007567311508893
SE,2010,1117765,Nordeste,95791.0,,8.569869337472545,False,-0.2736360132473026
SE,2011,1178771,Nordeste,95300.0,,8.084691598283298,False,5.457855631550457
SE,2012,1156157,Nordeste,105622.0,,9.13561047504794,False,-1.9184387807301029
SE,2013,1223215,Nordeste,101000.0,,8.25692948500468,False,5.800077325138364
SE,2014,1218972,Nordeste,101896.0,,8.359174780060576,False,-0.346872790147279
SE,2015,1231130,Nordeste,87476.0,,7.105342246553979,False,0.997397807332745
SE,2016,1196248,Nordeste,87027.0,,7.274996489022343,False,-2.8333319795634915
SE,2017,1067121,Nordeste,92363.0,,8.65534461415341,False,-10.794333616440744
SE,2018,1039346,Nordeste,116162.0,,11.176451345365258,False,-2.602797620888353
SE,2019,1052263,Nordeste,44195.0,,4.199995628469309,False,1.242800761247942
SE,2020,1045507,Nordeste,,,,False,-0.6420448119909161
SE,2021,1090821,Nordeste,133761.0,,12.262415190026594,False,4.334165146670466
SE,2022,1121930,Nordeste,195760.0,,17.448503917356696,False,2.851888623339671
SE,2023,1294262,Nordeste,225982.0,,17.46029783768665,False,15.360316597292156
SE,2024,1348720,Nordeste,305101.0,,22.621522628862923,False,4.207648837716005
SP,2005,13420780,Sudeste,1008876.0,,7.517267997836191,False,
SP,2006,12790383,Sudeste,4126182.0,,32.26003474641846,False,-4.697171103318887
SP,2007,11790564,Sudeste,4123918.0,,34.976426912232526,False,-7.816959038677728
SP,2008,11185556,Sudeste,3635066.0,,32.49785705779847,False,-5.131289733044153
SP,2009,11197605,Sudeste,3552206.0,,31.722908604116682,False,0.10771927653843161
SP,2010,11197697,Sudeste,3532524.0,,31.546879684277933,False,0.0008216042626907338
SP,2011,11024796,Sudeste,3269852.0,,29.659070335632514,False,-1.5440764292872
SP,2012,10757383,Sudeste,3348472.0,,31.127198873555027,False,-2.425559620332207
SP,2013,10486750,Sudeste,3548939.0,,33.84212458578683,False,-2.515788458958834
SP,2014,10148423,Sudeste,3523974.0,,34.7243507685874,False,-3.2262331036784553
SP,2015,10468135,Sudeste,3052511.0,,29.16002707263519,False,3.150361391124523
SP,2016,11031408,Sudeste,2792350.0,,25.31272526589534,False,5.380834312893357
SP,2017,11109523,Sudeste,2923258.0,,26.313082928943032,False,0.7081145036064385
SP,2018,10771635,Sudeste,3101941.0,,28.797308857940322,False,-3.041426711119821
SP,2019,10487012,Sudeste,3326168.0,,31.717022923212063,False,-2.6423379551943627
SP,2020,10568637,Sudeste,3120469.0,,29.525746792136015,False,0.7783437265066473
SP,2021,10718494,Sudeste,2891690.0,,26.97851022727633,False,1.4179406483541879
SP,2022,11065605,Sudeste,3420964.0,,30.915291120548765,False,3.23843069744687
SP,2023,10763360,Sudeste,3453408.0,,32.084850827250975,False,-2.7313915506653297
SP,2024,10756815,Sudeste,4140875.0,,38.495363172091366,False,-0.06080814912815535
TO,2005,7961926,Norte,197204.0,271.0,2.476837890731464,True,
TO,2006,7760590,Norte,1165352.0,124.0,15.016280978636933,True,-2.5287348814847066
TO,2007,7395450,Norte,1153294.0,63.0,15.59464265190083,True,-4.705054641464113
TO,2008,7392515,Norte,899922.0,107.0,12.173421359307353,True,-0.039686564035990024
TO,2009,7605249,Norte,882670.0,61.0,11.606063128242086,True,2.877694532916064
TO,2010,7994200,Norte,906479.0,49.0,11.339208426108929,True,5.1142441227105095
TO,2011,8025400,Norte,1053689.0,40.0,13.129426570638222,True,0.3902829551424736
TO,2012,8082336,Norte,1051092.0,52.0,13.00480455155539,True,0.7094475041742543
TO,2013,8140580,Norte,1195180.0,74.0,14.681754862675634,True,0.7206332426664686
TO,2014,8062227,Norte,1154265.0,55.0,14.316949894861555,True,-0.9624989865587019
TO,2015,8412404,Norte,1097704.0,57.0,13.048636275671022,True,4.343427690636847
TO,2016,8652161,Norte,1022512.0,67.0,11.817995527360159,True,2.8500414388086925
TO,2017,8738477,Norte,980048.0,99.0,11.21531818416413,True,0.997623599468378
TO,2018,8352513,Norte,1066984.0,116.0,12.774406935972443,True,-4.4168337342994635
TO,2019,8480724,Norte,1032557.0,115.0,12.175340218594545,True,1.534999107454249
TO,2020,9129804,Norte,894811.0,98.0,9.800988060641828,True,7.653591839564644
TO,2021,10161938,Norte,949944.0,132.0,9.348059395756989,True,11.305105783212866
TO,2022,10772509,Norte,1103897.0,120.0,10.24735277547691,True,6.008410994044633
TO,2023,11313309,Norte,1253201.0,110.0,11.077227714720777,True,5.020186105205382
TO,2024,11624631,Norte,1347300.0,,11.590045309825319,True,2.75182088635606
